search URL:,https://patents.google.com/?assignee=Tesla%252c+Inc.&before=priority:20200101&after=priority:20120101&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9331552-B2,Rotor assembly with heat pipe cooling system ,"Tesla Motors, Inc.","Lev Fedoseyev, Edwin Marcum Pearce, JR.",2013-06-13,2013-06-13,2016-05-03,2016-05-03,https://patents.google.com/patent/US9331552B2/en,https://patentimages.storage.googleapis.com/d7/9d/67/27bdff9c49eecd/US09331552-20160503-D00000.png
US-9187131-B2,Localized energy dissipation structures for vehicles ,"Toyota Motor Engineering & Manufacturing North America, Inc., Tesla Motors, Inc.","Jonathan Richard Young, Donald James Robert Parr, Ernest Matthew Villanueva, Derek Paul",2012-04-13,2013-11-07,2015-11-17,2015-11-17,https://patents.google.com/patent/US9187131B2/en,https://patentimages.storage.googleapis.com/cc/b5/0f/fe49a83b5b7ba1/US09187131-20151117-D00000.png
US-9828039-B2,Impact protection structures for vehicles and vehicles incorporating the same ,"Toyota Jidosha Kabushiki Kaisha, Tesla Motors, Inc.","Jonathan Richard Young, Donald James Robert Parr, Ernest Matthew Villanueva, Nathan Nelson, Paul DeWitt Frey",2012-04-13,2014-08-13,2017-11-28,2017-11-28,https://patents.google.com/patent/US9828039B2/en,https://patentimages.storage.googleapis.com/d3/24/3d/df4992c870af77/US09828039-20171128-D00000.png
US-10513247-B2,Battery swapping system and techniques ,"Tesla, Inc.","Alan Clarke, Matthew Lee Brown, Eric Orlando GAFFOGLIO, II Samuel Milan POZNANOVICH",2013-06-19,2014-05-22,2019-12-24,2019-12-24,https://patents.google.com/patent/US10513247B2/en,https://patentimages.storage.googleapis.com/9c/17/69/ca303af40f5c21/US10513247-20191224-D00000.png
US-10964502-B2,Electromagnetic switch with stable moveable contact ,"Tesla, Inc.","Bennett Sprague, Ian C. Dimen, Scott I. Kohn, Andrew Titus, Jeffrey G. Reichbach, Gregory Michael Goetchius, Garland Dughi",2012-12-10,2018-12-07,2021-03-30,2021-03-30,https://patents.google.com/patent/US10964502B2/en,https://patentimages.storage.googleapis.com/bb/64/b2/b58ac143f495b5/US10964502-20210330-D00000.png
US-10523008-B2,Scalable hierarchical energy distribution grid utilizing homogeneous control logic ,"Tesla, Inc.","Peter Rive, Eric Daniel Carlson",2015-02-24,2015-07-17,2019-12-31,2019-12-31,https://patents.google.com/patent/US10523008B2/en,https://patentimages.storage.googleapis.com/af/c6/57/2b4f7d615204eb/US10523008-20191231-D00000.png
US-2018095543-A1,Vehicle Air Suspension Control System ,"Tesla, Inc.","Daniel Myggen, Miriam Vu, Ted Merendino",2012-09-28,2017-11-21,2018-04-05,,https://patents.google.com/patent/US20180095543A1/en,https://patentimages.storage.googleapis.com/84/e9/f6/04487e24611634/US20180095543A1-20180405-D00000.png
US-10707027-B2,Formulations for and methods of fabricating energy storage device electrodes ,"Maxwell Technologies, Inc.","Xiaomei Xi, Santhanam Raman",2014-04-08,2018-11-27,2020-07-07,2020-07-07,https://patents.google.com/patent/US10707027B2/en,https://patentimages.storage.googleapis.com/b2/62/e8/764f7182829e48/US10707027-20200707-D00000.png
US-9412884-B2,Module fabrication of solar cells with low resistivity electrodes ,Solarcity Corporation,"Jiunn Benjamin Heng, Jianming Fu, Zheng Xu, Bobby Yang",2013-01-11,2014-10-08,2016-08-09,2016-08-09,https://patents.google.com/patent/US9412884B2/en,https://patentimages.storage.googleapis.com/46/9a/92/7595c6c315f030/US09412884-20160809-D00000.png
US-10074755-B2,High efficiency solar panel ,"Tesla, Inc.","Bobby Yang, Peter P. Nguyen, Jiunn Benjamin Heng, Anand J. Reddy, Zheng Xu",2013-01-11,2014-12-08,2018-09-11,2018-09-11,https://patents.google.com/patent/US10074755B2/en,https://patentimages.storage.googleapis.com/71/a0/b8/7d94de4b76fda0/US10074755-20180911-D00000.png
US-10741843-B2,Dry energy storage device electrode and methods of making the same ,"Maxwell Technologies, Inc.","Hieu Minh Duong, Haim Feigenbaum, Jian Hong",2014-04-18,2015-04-17,2020-08-11,2020-08-11,https://patents.google.com/patent/US10741843B2/en,https://patentimages.storage.googleapis.com/d0/f5/ab/0cc56788af665b/US10741843-20200811-D00001.png
US-9219174-B2,Module fabrication of solar cells with low resistivity electrodes ,Solarcity Corporation,"Jiunn Benjamin Heng, Jianming Fu, Zheng Xu, Bobby Yang",2013-01-11,2014-01-13,2015-12-22,2015-12-22,https://patents.google.com/patent/US9219174B2/en,https://patentimages.storage.googleapis.com/2c/01/5a/3d9924ad3be691/US09219174-20151222-D00000.png
US-2018275658-A1,Data synthesis for autonomous control systems ,"DeepScale, Inc.","Forrest Nelson Iandola, Donald Benton MacMillen, Anting Shen, Harsimran Singh Sidhu, Paras Jagdish Jain",2017-03-23,2018-03-23,2018-09-27,,https://patents.google.com/patent/US20180275658A1/en,https://patentimages.storage.googleapis.com/71/6b/69/9f04379f4a64a9/US20180275658A1-20180927-D00000.png
US-9461189-B2,Photovoltaic devices with electroplated metal grids ,Solarcity Corporation,"Jianming Fu, Jiunn Benjamin Heng, Christopher J. Beitel, Zheng Xu",2012-10-04,2013-10-03,2016-10-04,2016-10-04,https://patents.google.com/patent/US9461189B2/en,https://patentimages.storage.googleapis.com/6f/95/92/186246e3597f73/US09461189-20161004-D00000.png
US-9947822-B2,Bifacial photovoltaic module using heterojunction solar cells ,"Tesla, Inc.","Jiunn Benjamin Heng, Christoph Erben, Bobby Yang",2015-02-02,2015-02-02,2018-04-17,2018-04-17,https://patents.google.com/patent/US9947822B2/en,https://patentimages.storage.googleapis.com/cc/fc/05/2030c3da624b16/US09947822-20180417-D00000.png
US-11157014-B2,Multi-channel sensor simulation for autonomous control systems ,"Tesla, Inc.","Forrest Nelson Iandola, Donald Benton MacMillen, Anting Shen, Harsimran Singh Sidhu, Daniel Paden Tomasello, Rohan Nandkumar Phadte, Paras Jagdish Jain",2016-12-29,2017-12-27,2021-10-26,2021-10-26,https://patents.google.com/patent/US11157014B2/en,https://patentimages.storage.googleapis.com/c7/df/6a/f0f6573d2b77c0/US11157014-20211026-D00000.png
US-10185345-B2,Systems and methods of home efficiency modeling ,Solarcity Corporation,"Ryan Hanley, Brian Zimmerly",2015-06-22,2015-06-22,2019-01-22,2019-01-22,https://patents.google.com/patent/US10185345B2/en,https://patentimages.storage.googleapis.com/d2/57/1b/7ce8e79a1239b5/US10185345-20190122-D00000.png
US-9755571-B2,Photovoltaic mounting system with chemical flashing ,Solarcity Corporation,"Charles Almy, Tyrus Hawkes Hudson, Jack Raymond West",2015-02-25,2015-11-23,2017-09-05,2017-09-05,https://patents.google.com/patent/US9755571B2/en,https://patentimages.storage.googleapis.com/bc/78/5c/42fc3f9c2e965d/US09755571-20170905-D00000.png
US-9231517-B2,"Photovoltaic array mounting apparatus, systems, and methods ",Solarcity Corporation,"Jack Raymond West, Brian Atchley, Tyrus Hawkes Hudson, Emil Johansen",2012-12-20,2015-01-09,2016-01-05,2016-01-05,https://patents.google.com/patent/US9231517B2/en,https://patentimages.storage.googleapis.com/69/84/5c/4741c4f06603e2/US09231517-20160105-D00000.png
US-9806668-B2,Photovoltaic mounting system for tiled roofs ,Solarcity Corporation,"Emil Johansen, Martin Seery",2014-09-23,2015-09-15,2017-10-31,2017-10-31,https://patents.google.com/patent/US9806668B2/en,https://patentimages.storage.googleapis.com/a1/fa/4b/2529fcfd3f775b/US09806668-20171031-D00000.png
US-2018350055-A1,Augmented reality feature detection ,"Tesla, Inc.",Ivan Cardenas Bernal,2017-06-01,2018-05-31,2018-12-06,,https://patents.google.com/patent/US20180350055A1/en,https://patentimages.storage.googleapis.com/1a/d5/f0/07ec5db5cd418f/US20180350055A1-20181206-D00000.png
US-9899554-B2,Method of installing a strain relief apparatus to a solar cell ,Solarcity Corporation,"Bobby Yang, Jiunn Benjamin Heng, Zheng Xu",2015-12-14,2015-12-30,2018-02-20,2018-02-20,https://patents.google.com/patent/US9899554B2/en,https://patentimages.storage.googleapis.com/5a/9f/09/c1744045a3929d/US09899554-20180220-D00000.png
US-8875455-B1,Ramp mounting system for a flat roof solar array ,"Zep Solar, Llc","Alex Yang, Brian West, Jack West",2014-05-28,2014-05-28,2014-11-04,2014-11-04,https://patents.google.com/patent/US8875455B1/en,https://patentimages.storage.googleapis.com/7c/63/8e/c4065bd897f66b/US08875455-20141104-D00000.png
US-10672938-B2,Photovoltaic structure cleaving system ,Solarcity Corporation,"Pablo Gonzalez, Bobby Yang",2014-12-05,2017-06-19,2020-06-02,2020-06-02,https://patents.google.com/patent/US10672938B2/en,https://patentimages.storage.googleapis.com/78/69/bb/4f71daeb9e70bc/US10672938-20200602-D00000.png
US-10967702-B2,Optimal source electric vehicle heat pump with extreme temperature heating capability and efficient thermal preconditioning ,"Tesla, Inc.","Nicholas MANCINI, Joseph Stratford Maxwell Mardall, Jan Kopitz, Curt Raymond O'Donnell, Daniel F. Hanks, Huize Li",2017-09-07,2018-09-07,2021-04-06,2021-04-06,https://patents.google.com/patent/US10967702B2/en,https://patentimages.storage.googleapis.com/63/32/19/4f7610efcf7589/US10967702-20210406-D00000.png
US-10236406-B2,Systems and methods for targeted annealing of photovoltaic structures ,Solarcity Corporation,"Pablo Gonzalez, Bobby Yang",2014-12-05,2015-09-25,2019-03-19,2019-03-19,https://patents.google.com/patent/US10236406B2/en,https://patentimages.storage.googleapis.com/3b/1f/49/d3007bf7d7e4fa/US10236406-20190319-D00000.png
US-9673583-B2,Photovoltaic mounting rail connector with drop-down connection to first photovoltaic module and slide-in connection to second photovoltaic module ,Solarcity Corporation,"Tyrus Hudson, Martin Seery, River Broussard, Malcolm Kimberley",2015-08-28,2015-12-31,2017-06-06,2017-06-06,https://patents.google.com/patent/US9673583B2/en,https://patentimages.storage.googleapis.com/57/58/53/ef6fad7f8973f9/US09673583-20170606-D00000.png
US-9548696-B2,East-west photovoltaic array with spaced apart photovoltaic modules for improved aerodynamic efficiency ,Solarcity Corporation,"Brian Atchley, Geoffrey Fedoroff, Joe O'Connor, Jack Raymond West, Ian Crecelius",2014-08-22,2015-02-18,2017-01-17,2017-01-17,https://patents.google.com/patent/US9548696B2/en,https://patentimages.storage.googleapis.com/63/56/b0/b504f13cf6f8ec/US09548696-20170117-D00000.png
US-10277031-B2,Systems for provisioning energy generation and storage systems ,Solarcity Corporation,"Eric Daniel Carlson, Karthikeyan Varadarajan",2012-07-19,2015-02-26,2019-04-30,2019-04-30,https://patents.google.com/patent/US10277031B2/en,https://patentimages.storage.googleapis.com/05/b2/13/90ebda9ff6542d/US10277031-20190430-D00000.png
EP-3335292-B1,Multiple inverter power control systems in an energy generation system ,"Tesla, Inc.",Sandeep Narla,2015-08-14,2016-08-12,2020-08-12,2020-08-12,https://patents.google.com/patent/EP3335292B1/en,https://patentimages.storage.googleapis.com/55/c2/37/adde7835e54250/imgf0001.png
US-9811064-B2,Energy generation (EG) system generating failsafe level of energy in case of communication failure ,Solarcity Corporation,"Eric Daniel Carlson, Nathan Murthy",2015-04-27,2015-04-27,2017-11-07,2017-11-07,https://patents.google.com/patent/US9811064B2/en,https://patentimages.storage.googleapis.com/d0/9b/35/af568a18babecd/US09811064-20171107-D00000.png
US-2019176837-A1,Personalization system and method for a vehicle based on spatial locations of occupants' body portions ,"Tesla, Inc.","Blair WILLIAMS, Adnan Esmail",2017-12-08,2018-12-06,2019-06-13,,https://patents.google.com/patent/US20190176837A1/en,https://patentimages.storage.googleapis.com/78/58/82/90541bb3078b4f/US20190176837A1-20190613-D00000.png
AU-2013309484-B2,Tunneling-junction solar cell with shallow counter doping layer in the substrate ,"Tesla, Inc.","Jianming Fu, Jiunn Benjamin Heng, Zhigang Xie, Zheng Xu",2012-08-31,2013-06-24,2017-05-11,2017-05-11,https://patents.google.com/patent/AU2013309484B2/en,
